box of teabag,running nr,weight before,weight only tea,date weighing before,fence,treat snow,treat Otc,date burry,date retrieve,incubation time,pseudo rep,Weight dried (with bag),weight after (dried at 60 degr C),Weight loss after incubation,comment
R6,108,2.201,1.951,24-05-2017,C7,C,,06-09-2017,19-06-2018,286,,1.978,1.5868,0.364,
G4,441,2.119,1.867,29-05-2017,C7,C,,06-09-2017,19-06-2018,286,,1.42487,1.05585,0.811,
R6,96,2.151,1.901,24-05-2017,C8,C,,06-09-2017,19-06-2018,286,,1.9514,1.5734,0.328,
G4,442,1.98,1.728,29-05-2017,C8,C,,06-09-2017,19-06-2018,286,,1.3618,0.9849,0.743,
R2,20,2.19,1.933,24-05-2017,C9,C,,06-09-2017,19-06-2018,286,,1.9142,1.5866,0.346,
G4,439,1.993,1.741,29-05-2017,C9,C,,06-09-2017,19-06-2018,286,,1.3452,0.9735,0.768,
R7,116,2.234,1.988,24-05-2017,D10,C,,06-09-2017,19-06-2018,286,,2.0375,1.6488,0.339,
G7,518,1.961,1.713,29-05-2017,D10,C,,06-09-2017,19-06-2018,286,,1.3641,1.0114,0.702,
R6,113,2.145,1.895,24-05-2017,D11,C,,06-09-2017,19-06-2018,286,,1.9576,1.5666,0.328,
G7,506,2.064,1.816,29-05-2017,D11,C,,06-09-2017,19-06-2018,286,,1.2617,0.9206,0.895,
R9,167,2.205,1.953,24-05-2017,D12,C,,06-09-2017,19-06-2018,286,,1.91707,1.58052,0.372,
G7,520,2.058,1.81,29-05-2017,D12,C,,06-09-2017,19-06-2018,286,,1.51363,1.14764,0.662,
R1,3,2.175,1.92,24-05-2017,A1,D,,06-09-2017,19-06-2018,286,,2.0017,1.6044,0.316,
G1,362,2.079,1.827,26-05-2017,A1,D,,06-09-2017,19-06-2018,286,,1.4141,1.0563,0.771,
R1,15,2.267,2.012,24-05-2017,A3,D,,06-09-2017,19-06-2018,286,,1.9868,1.6333,0.379,
G1,361,2.055,1.803,26-05-2017,A3,D,,06-09-2017,19-06-2018,286,,1.342,1.0101,0.793,
R2,30,2.197,1.94,24-05-2017,B4,D,,06-09-2017,19-06-2018,286,,1.9677,1.6405,0.3,
G8,543,1.999,1.747,29-05-2017,B4,D,,06-09-2017,19-06-2018,286,,1.4398,1.0693,0.678,
R4,76,2.165,1.91,24-05-2017,B5,D,,06-09-2017,19-06-2018,286,,1.9432,1.5718,0.338,
G1,373,2.066,1.814,26-05-2017,B5,D,,06-09-2017,19-06-2018,286,,1.3727,1.0113,0.803,
R4,74,2.192,1.937,24-05-2017,B6,D,,06-09-2017,19-06-2018,286,,1.92938,1.56109,0.376,
G8,548,2.055,1.803,29-05-2017,B6,D,,06-09-2017,19-06-2018,286,,1.4129,1.0223,0.781,
R2,22,2.171,1.914,24-05-2017,C7,D,,06-09-2017,19-06-2018,286,,1.9331,1.6122,0.302,
G4,440,1.888,1.636,29-05-2017,C7,D,,06-09-2017,19-06-2018,286,,1.1685,0.7594,0.877,
R6,100,2.158,1.908,24-05-2017,C8,D,,06-09-2017,19-06-2018,286,,1.9012,1.5186,0.389,
G4,454,2.061,1.809,29-05-2017,C8,D,,06-09-2017,19-06-2018,286,,1.5203,1.1606,0.648,
R2,38,2.146,1.889,24-05-2017,C9,D,,06-09-2017,19-06-2018,286,,1.9291,1.5536,0.335,
G8,551,2.014,1.762,29-05-2017,C9,D,,06-09-2017,19-06-2018,286,,1.38448,1.03559,0.726,
R9,169,2.193,1.941,24-05-2017,D10,D,,06-09-2017,19-06-2018,286,,1.9922,1.6501,0.291,
G7,526,2.061,1.813,29-05-2017,D10,D,,06-09-2017,19-06-2018,286,,1.4073,1.0567,0.756,
R6,109,2.141,1.891,24-05-2017,D11,D,,06-09-2017,19-06-2018,286,,1.9334,1.5629,0.328,
G4,456,1.992,1.74,29-05-2017,D11,D,,06-09-2017,19-06-2018,286,,1.3131,0.9608,0.779,
R9,153,2.201,1.949,24-05-2017,D12,D,,06-09-2017,19-06-2018,286,,1.99161,1.62978,0.319,
G4,453,1.993,1.741,29-05-2017,D12,D,,06-09-2017,19-06-2018,286,,1.33984,0.97715,0.764,
R1,8,2.201,1.946,24-05-2017,A1,M,,06-09-2017,19-06-2018,286,,2.0129,1.6313,0.315,
G1,367,2.05,1.798,26-05-2017,A1,M,,06-09-2017,19-06-2018,286,,1.478,1.1121,0.686,
R1,11,2.209,1.954,24-05-2017,A3,M,,06-09-2017,19-06-2018,286,,1.9694,1.5815,0.373,
G1,375,2.016,1.764,26-05-2017,A3,M,,06-09-2017,19-06-2018,286,,1.322,0.9555,0.809,
R2,26,2.202,1.945,24-05-2017,B4,M,,06-09-2017,19-06-2018,286,,1.9344,1.5871,0.358,
G8,533,2.009,1.757,29-05-2017,B4,M,,06-09-2017,19-06-2018,286,,1.4041,1.0045,0.753,
R4,72,2.189,1.934,24-05-2017,B5,M,,06-09-2017,19-06-2018,286,,2.0088,1.637,0.297,
G1,378,1.983,1.731,26-05-2017,B5,M,,06-09-2017,19-06-2018,286,,1.23248,0.8798,0.851,
R4,67,2.203,1.948,24-05-2017,B6,M,,06-09-2017,19-06-2018,286,,1.9866,1.6325,0.316,
G8,550,2.057,1.805,29-05-2017,B6,M,,06-09-2017,19-06-2018,286,,1.2536,0.9178,0.887,
R6,107,2.124,1.874,24-05-2017,C7,M,,06-09-2017,19-06-2018,286,,1.8683,1.4808,0.393,
G4,444,2.046,1.794,29-05-2017,C7,M,,06-09-2017,19-06-2018,286,,1.3998,1.0223,0.772,
R2,32,2.203,1.946,24-05-2017,C9,M,,06-09-2017,19-06-2018,286,,2.0091,1.6268,0.319,
G4,455,2.049,1.797,29-05-2017,C9,M,,06-09-2017,19-06-2018,286,,1.3581,0.9858,0.811,
R6,104,2.136,1.886,24-05-2017,D11,M,,06-09-2017,19-06-2018,286,,1.9358,1.5567,0.329,
G7,511,2.017,1.769,29-05-2017,D11,M,,06-09-2017,19-06-2018,286,,1.2936,0.9481,0.821,
R9,154,2.167,1.915,24-05-2017,D12,M,,06-09-2017,19-06-2018,286,,1.9711,1.6019,0.313,
G7,509,2.052,1.804,29-05-2017,D12,M,,06-09-2017,19-06-2018,286,,1.36862,1.02913,0.775,
R9,162,2.214,1.962,24-05-2017,D10,M,,06-09-2017,21-06-2018,288,,1.9792,1.6269,0.335,
G7,522,2.015,1.767,29-05-2017,D10,M,,06-09-2017,21-06-2018,288,,1.3645,1.0089,0.758,
G4,443,2.054,1.802,29-05-2017,C7,C,,06-09-2017,27-08-2018,355,,1.3835,1.0046,0.797,
R1,10,2.221,1.966,24-05-2017,A1,C,,06-09-2017,27-08-2018,355,,1.8013,1.4654,0.501,
